"id";"Company";"TypeName";"Inches";"resolution_height";"resolution_width";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"price"
24;"Asus";"Gaming";"17.3";1920;1080;0;"AMD";"Ryzen 1700";"3.00";16;"Hybrid";"256";"1024";"AMD";"windows";"3.2";82531
26;"HP";"Notebook";"13.3";1920;1080;0;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Intel";"windows";"1.49";63776
27;"HP";"Notebook";"15.6";1366;768;1;"Intel";"Core i5";"2.50";8;"HDD";"1024";"0";"Intel";"windows";"2.04";29784
28;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"AMD";"linux";"2.14";39165
29;"Lenovo";"Notebook";"15.6";1366;768;0;"Intel";"Pentium Quad";"1.10";4;"HDD";"1024";"0";"Intel";"N/A";"2.2";19180
30;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"1.80";16;"Hybrid";"256";"2048";"AMD";"linux";"2.02";55891
31;"Asus";"Gaming";"17.3";1920;1080;0;"Intel";"Core i7";"2.90";16;"SSD";"256";"0";"Nvidia";"windows";"3.6";159787
32;"Lenovo";"2 in 1 Convertible";"14";2560;1440;1;"Intel";"Core i7";"2.60";16;"SSD";"512";"0";"Intel";"windows";"1.36";133147
33;"Asus";"Gaming";"17.3";1920;1080;0;"AMD";"Ryzen 1700";"3.00";8;"Hybrid";"256";"1024";"AMD";"windows";"3.2";69211
34;"Toshiba";"Notebook";"15.6";1366;768;0;"Intel";"Core i7";"2.50";8;"HDD";"500";"0";"Nvidia";"windows";"2.2";43263
35;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"AMD";"windows";"2.2";42624
36;"Dell";"Ultrabook";"13.3";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"windows";"1.23";74539
37;"Dell";"Gaming";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";"windows";"2.65";63670
38;"HP";"2 in 1 Convertible";"13.3";1920;1080;1;"Intel";"Core i7";"2.80";16;"SSD";"256";"0";"Intel";"windows";"1.28";105228
39;"Lenovo";"2 in 1 Convertible";"13.9";3840;2160;1;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Intel";"windows";"1.4";98515
40;"Toshiba";"Notebook";"15.6";1366;768;0;"Intel";"Core i5";"2.50";8;"SSD";"128";"0";"Intel";"windows";"2.0";42251
41;"Apple";"Ultrabook";"13.3";2560;1600;0;"Intel";"Core i5";"2.30";8;"SSD";"128";"0";"Intel";"mac";"1.37";71379
42;"Dell";"Notebook";"15.6";1366;768;0;"Intel";"Core i7";"2.70";12;"HDD";"1024";"0";"Intel";"windows";"2.3";37992
43;"Dell";"Notebook";"17.3";1920;1080;0;"Intel";"Core i7";"1.80";8;"Hybrid";"128";"1024";"AMD";"linux";"2.8";58555
44;"Apple";"Ultrabook";"13.3";1440;900;0;"Intel";"Core i5";"1.80";8;"Flash Storge";"128";"0";"Intel";"mac";"1.34";47896
45;"HP";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"N/A";"1.86";30636
46;"Apple";"Ultrabook";"15.4";2880;1800;0;"Intel";"Core i7";"2.70";16;"SSD";"512";"0";"AMD";"mac";"1.83";135195
47;"Acer";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"1.80";8;"HDD";"1024";"0";"Nvidia";"windows";"2.2";39694
48;"HP";"Notebook";"13.3";1920;1080;0;"Intel";"Core i5";"1.60";4;"HDD";"500";"0";"Intel";"windows";"1.49";35964
49;"Lenovo";"Notebook";"17.3";1600;900;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";"windows";"2.8";26054
50;"Lenovo";"Notebook";"17.3";1920;1080;0;"Intel";"Core i7";"1.80";8;"HDD";"2048";"0";"Nvidia";"N/A";"2.8";45235
51;"Asus";"Ultrabook";"14";1920;1080;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Intel";"windows";"1.25";55891
52;"Apple";"Ultrabook";"13.3";2560;1600;0;"Intel";"Core i5";"3.10";8;"SSD";"512";"0";"Intel";"mac";"1.37";108691
53;"Dell";"Ultrabook";"15.6";1920;1080;0;"Intel";"Core i7";"1.90";8;"SSD";"256";"256";"Intel";"windows";"1.88";69157
54;"Xiaomi";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Nvidia";"N/A";"1.95";63883
55;"Dell";"2 in 1 Convertible";"15.6";1920;1080;1;"Intel";"Core i7";"1.80";8;"HDD";"1024";"0";"Intel";"windows";"2.08";43636
56;"Lenovo";"Notebook";"17.3";1600;900;0;"Intel";"Core i7";"2.70";6;"Hybrid";"128";"1024";"Nvidia";"windows";"2.8";45768
57;"Dell";"Notebook";"17.3";1920;1080;1;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Nvidia";"windows";"2.77";82531
58;"HP";"Notebook";"15.6";1366;768;0;"Intel";"Core i5";"2.50";4;"HDD";"500";"0";"Intel";"N/A";"1.86";20987
59;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"AMD";"linux";"2.25";22804
60;"Toshiba";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"2.50";8;"SSD";"256";"0";"Nvidia";"windows";"2.2";55571
61;"Asus";"Gaming";"17.3";1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"1024";"Nvidia";"windows";"4.3";95851
62;"HP";"Ultrabook";"14";1920;1080;0;"Intel";"Core i5";"2.70";4;"SSD";"256";"0";"Intel";"windows";"1.48";57649
63;"Asus";"Notebook";"15.6";1366;768;0;"AMD";"A9-Series 9420";"3.00";4;"HDD";"1024";"0";"AMD";"windows";"1.68";24988
64;"Dell";"Notebook";"15.6";3840;2160;1;"Intel";"Core i7";"2.80";16;"SSD";"512";"0";"Nvidia";"windows";"2.06";127712
65;"HP";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"1.60";6;"SSD";"256";"0";"AMD";"windows";"1.91";32980
66;"Lenovo";"Gaming";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";"windows";"2.5";44169
67;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";4;"SSD";"256";"0";"AMD";"windows";"2.3";34046
68;"Lenovo";"Gaming";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";"N/A";"2.4";41505
69;"Lenovo";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";6;"SSD";"256";"0";"Intel";"windows";"2.2";30849
70;"Apple";"Ultrabook";"13.3";2560;1600;0;"Intel";"Core i5";"3.10";8;"SSD";"256";"0";"Intel";"mac";"1.37";96096
71;"MSI";"Gaming";"17.3";1920;1080;0;"Intel";"Core i7";"2.80";8;"Hybrid";"256";"1024";"Nvidia";"windows";"2.7";63883
72;"HP";"Notebook";"15.6";1920;1080;0;"Intel";"Core i3";"2.00";4;"HDD";"500";"0";"Intel";"N/A";"1.86";18381
73;"Acer";"2 in 1 Convertible";"13.3";1920;1080;1;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"windows";"1.5";45128
74;"HP";"Notebook";"17.3";1920;1080;0;"Intel";"Core i5";"1.60";8;"HDD";"1024";"0";"Nvidia";"windows";"2.5";47739
75;"Acer";"Ultrabook";"13.3";1920;1080;0;"Intel";"Core i5";"1.20";8;"SSD";"256";"0";"Intel";"windows";"1.12";52694
76;"Lenovo";"2 in 1 Convertible";"13.9";1920;1080;1;"Intel";"Core i7";"1.80";8;"SSD";"512";"0";"Intel";"windows";"1.37";98515
77;"Toshiba";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"windows";"2.0";50243
78;"Acer";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Nvidia";"windows";"3";50669
79;"Acer";"Notebook";"17.3";1920;1080;0;"Intel";"Core i3";"2.70";4;"SSD";"256";"0";"Nvidia";"windows";"3";37403
80;"Chuwi";"Notebook";"15.6";1920;1080;0;"Intel";"Atom x5-Z8300";"1.44";4;"Flash Storge";"64";"0";"Intel";"windows";"1.89";13053
81;"Acer";"Notebook";"15.6";1920;1080;1;"Intel";"Core i7";"2.70";12;"HDD";"1024";"0";"Intel";"windows";"2.15";35112
82;"Lenovo";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"Hybrid";"128";"1024";"Nvidia";"windows";"2.3";43636
83;"Dell";"Notebook";"17.3";1920;1080;0;"Intel";"Core i7";"1.80";8;"Hybrid";"128";"1024";"AMD";"windows";"2.8";57809
84;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"2.70";8;"HDD";"1024";"0";"AMD";"linux";"2.2";31963
85;"Asus";"Notebook";"14";1920;1080;0;"Intel";"Core i7";"2.70";8;"Hybrid";"256";"1024";"Intel";"windows";"2";71076
86;"Dell";"Ultrabook";"13.3";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"windows";"1.41";50563
87;"HP";"Notebook";"15.6";1920;1080;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";"windows";"1.86";24988
89;"Acer";"Notebook";"15.6";1366;768;0;"AMD";"A9-Series 9420";"3.00";4;"HDD";"500";"0";"AMD";"windows";"2.1";21312
90;"Lenovo";"Notebook";"15.6";1920;1080;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";"windows";"1.85";23923
91;"HP";"Notebook";"15.6";1366;768;0;"AMD";"A6-Series A6-9220";"2.50";8;"SSD";"128";"0";"AMD";"windows";"1.91";23758
92;"Asus";"Notebook";"14";1366;768;0;"AMD";"E-Series E2-6110";"1.50";2;"Flash Storge";"32";"0";"AMD";"windows";"1.65";10603
93;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i3";"2.00";4;"SSD";"256";"0";"AMD";"linux";"2.2";25841
94;"Apple";"Ultrabook";"15.4";2880;1800;0;"Intel";"Core i7";"2.20";16;"Flash Storge";"256";"0";"Intel";"mac";"2.04";114018
95;"Asus";"Notebook";"35.6";1920;1080;0;"Intel";"Core i3";"2.40";8;"HDD";"1024";"0";"Nvidia";"linux";"2.3";31808
96;"HP";"Notebook";"17.3";1920;1080;0;"Intel";"Core i7";"1.80";16;"HDD";"1024";"0";"Nvidia";"windows";"2.9";56424
97;"Asus";"Gaming";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";8;"SSD";"256";"0";"Nvidia";"windows";"2.5";53227
98;"MSI";"Gaming";"17.3";1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"512";"1024";"Nvidia";"windows";"4.14";133147
99;"HP";"Notebook";"14";1920;1080;0;"Intel";"Core i5";"2.60";8;"SSD";"256";"0";"Intel";"windows";"1.48";67559
100;"Lenovo";"Notebook";"13.3";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"windows";"1.1";53227
101;"Lenovo";"2 in 1 Convertible";"14";1920;1080;1;"Intel";"Core i3";"2.40";4;"SSD";"256";"0";"Intel";"windows";"1.74";33513
102;"MSI";"Gaming";"17.3";1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"2048";"Nvidia";"windows";"2.43";130483
103;"Asus";"Notebook";"15.6";1920;1080;0;"Intel";"Core i3";"2.40";6;"SSD";"256";"0";"Nvidia";"windows";"2";30743
104;"Asus";"Notebook";"17.3";1366;768;0;"Intel";"Pentium Quad";"1.10";4;"HDD";"1024";"0";"Nvidia";"windows";"2.8";24828
106;"Acer";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Nvidia";"windows";"2.2";44808
107;"Vero";"Notebook";"14";1920;1080;0;"Intel";"Celeron Dual";"1.10";4;"Flash Storge";"32";"0";"Intel";"windows";"1.3";13853
108;"Dell";"Ultrabook";"13.3";3840;2160;1;"Intel";"Core i7";"1.80";16;"SSD";"1024";"0";"Intel";"windows";"1.21";133147
109;"Lenovo";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Intel";"windows";"1.95";58448
110;"Dell";"Gaming";"27.3";2560;1440;0;"Intel";"Core i7";"2.90";16;"Hybrid";"256";"1024";"Nvidia";"windows";"4.42";149131
111;"Asus";"2 in 1 Convertible";"13.3";1920;1080;1;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"windows";"1.1";70063
112;"Asus";"Ultrabook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";"windows";"1.7";52055
113;"HP";"Gaming";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";12;"Hybrid";"128";"1024";"Nvidia";"windows";"2.62";66547
114;"Lenovo";"2 in 1 Convertible";"15.6";1920;1080;1;"Intel";"Core i7";"2.80";8;"SSD";"512";"0";"Nvidia";"windows";"2";90523
115;"Apple";"Ultrabook";"13.3";1440;900;0;"Intel";"Core i5";"1.80";8;"Flash Storge";"256";"0";"Intel";"mac";"1.34";61736
117;"Dell";"Notebook";"17.3";1920;1080;0;"Intel";"Core i7";"1.80";8;"Hybrid";"128";"1024";"AMD";"windows";"2.8";60846
118;"Asus";"Notebook";"15.6";1920;1080;0;"Intel";"Core i3";"2.00";4;"SSD";"256";"0";"Intel";"linux";"2";22111
119;"HP";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"windows";"1.84";60952
120;"Dell";"Gaming";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";8;"Hybrid";"128";"1024";"Nvidia";"windows";"2.62";61752
121;"Lenovo";"Gaming";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"1024";"Nvidia";"windows";"2.5";62817
122;"MSI";"Gaming";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"1024";"Nvidia";"windows";"2.8";111835
123;"Xiaomi";"Ultrabook";"13.3";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";"N/A";"1.3";53275
124;"Lenovo";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"2.70";8;"HDD";"1024";"0";"Nvidia";"N/A";"2.2";35112
125;"Dell";"2 in 1 Convertible";"15.6";1920;1080;1;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";"windows";"1.56";55891
126;"Asus";"Ultrabook";"14";1920;1080;0;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Nvidia";"windows";"1.3";79654
127;"HP";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"AMD";"windows";"1.91";38308
128;"Acer";"Ultrabook";"14";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"windows";"1.6";41026
129;"Dell";"Notebook";"17.3";1920;1080;0;"Intel";"Core i7";"1.80";16;"Hybrid";"256";"2048";"AMD";"windows";"2.8";69211
130;"Asus";"Notebook";"15.6";1366;768;0;"Intel";"Celeron Dual";"1.10";4;"HDD";"1024";"0";"Intel";"linux";"2";14651
131;"Dell";"Ultrabook";"14";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"windows";"1.7";46833
132;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"1.80";8;"Hybrid";"256";"2048";"AMD";"windows";"2.02";60867
133;"Acer";"Notebook";"15.6";1920;1080;0;"AMD";"A8-Series 7410";"2.20";8;"SSD";"256";"0";"AMD";"windows";"2.23";24988
134;"Lenovo";"Notebook";"15.6";1920;1080;0;"Intel";"Core i3";"2.00";4;"SSD";"256";"0";"Intel";"N/A";"2.2";23656
135;"Acer";"Notebook";"15.6";1366;768;0;"Intel";"Celeron Dual";"1.50";2;"SSD";"16";"0";"Intel";"others";"2.19";10603
136;"HP";"Notebook";"17.3";1920;1080;0;"AMD";"A6-Series 9220";"2.50";4;"HDD";"500";"0";"AMD";"windows";"2.71";23390
137;"HP";"Notebook";"15.6";1920;1080;0;"AMD";"A6-Series 9220";"2.50";4;"SSD";"256";"0";"AMD";"windows";"1.86";21232
138;"HP";"Notebook";"15.6";1920;1080;0;"AMD";"E-Series E2-9000e";"1.50";4;"HDD";"500";"0";"AMD";"windows";"2.1";18595
139;"HP";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"1.60";4;"HDD";"500";"0";"Intel";"windows";"2.1";38468
140;"Lenovo";"Notebook";"17.3";1600;900;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Nvidia";"N/A";"2.8";37189
141;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";4;"HDD";"1024";"0";"Intel";"windows";"2.18";35005
142;"Lenovo";"Notebook";"14";1920;1080;0;"Intel";"Core i3";"2.70";8;"SSD";"256";"0";"Intel";"N/A";"1.7";31915
143;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Nvidia";"windows";"2";60886
144;"Dell";"2 in 1 Convertible";"13.3";1920;1080;1;"Intel";"Core i7";"1.80";8;"HDD";"1024";"0";"Intel";"windows";"1.62";44702
145;"Asus";"Gaming";"17.3";1920;1080;0;"Intel";"Core i7";"2.80";8;"HDD";"1024";"0";"Nvidia";"windows";"3";63243
146;"Dell";"Ultrabook";"13.3";3200;1800;1;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Intel";"windows";"1.2";99580
147;"Dell";"Notebook";"15.6";1366;768;0;"Intel";"Celeron Dual";"1.60";4;"HDD";"500";"0";"Intel";"linux";"2.2";14647
148;"Asus";"Notebook";"14";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"windows";"1.4";50136
149;"HP";"Notebook";"13.3";1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"512";"0";"Intel";"windows";"1.49";58768
150;"Toshiba";"Notebook";"15.6";1366;768;0;"Intel";"Core i3";"2.20";4;"HDD";"500";"0";"Intel";"windows";"2.1";23816
151;"Acer";"Notebook";"15.6";1366;768;0;"Intel";"Core i3";"2.40";4;"HDD";"1024";"0";"Intel";"windows";"2.4";20460
152;"Dell";"Ultrabook";"14";1920;1080;0;"Intel";"Core i7";"2.80";8;"SSD";"256";"0";"Intel";"linux";"1.6";58555
153;"HP";"Notebook";"17.3";1600;900;0;"Intel";"Core i3";"2.00";8;"HDD";"1024";"0";"Intel";"windows";"2.54";26054
154;"Asus";"Notebook";"15.6";1366;768;0;"AMD";"A9-Series 9420";"3.00";4;"HDD";"1024";"0";"AMD";"windows";"2.03";21472
155;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"HDD";"1024";"0";"AMD";"windows";"2.24";30103
156;"HP";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"windows";"1.86";36763
157;"Apple";"Ultrabook";"13.3";1440;900;0;"Intel";"Core i5";"1.60";8;"Flash Storge";"256";"0";"Intel";"mac";"1.35";53173
158;"Dell";"2 in 1 Convertible";"15.6";1920;1080;1;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"windows";"2.67";42571
159;"HP";"Notebook";"17.3";1920;1080;0;"Intel";"Core i5";"1.60";8;"HDD";"1024";"0";"Nvidia";"windows";"2.5";48698
160;"Asus";"2 in 1 Convertible";"11.6";1366;768;1;"Intel";"Celeron Dual";"1.10";2;"Flash Storge";"32";"0";"Intel";"windows";"1.1";14652
161;"Lenovo";"Notebook";"15.6";1920;1080;0;"AMD";"A12-Series 9720P";"3.60";12;"HDD";"2048";"0";"AMD";"windows";"2.2";47899
162;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"AMD";"windows";"2.13";40908
163;"HP";"Notebook";"15.6";1366;768;0;"AMD";"A6-Series 9220";"2.50";4;"SSD";"256";"0";"AMD";"windows";"1.86";19660
164;"Razer";"Gaming";"17.3";3840;2160;1;"Intel";"Core i7";"2.90";32;"SSD";"1024";"0";"Nvidia";"windows";"3.49";324955
165;"HP";"Notebook";"15.6";1920;1080;0;"Intel";"Core i3";"2.00";4;"SSD";"128";"0";"Intel";"windows";"1.91";23390
166;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";8;"SSD";"256";"0";"Nvidia";"windows";"2";97449
167;"HP";"Notebook";"15.6";1920;1080;0;"Intel";"Core i3";"2.40";8;"HDD";"1024";"0";"Nvidia";"windows";"2.1";38148
168;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"1.60";8;"HDD";"1024";"0";"AMD";"linux";"2.2";34472
169;"Lenovo";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"windows";"2.05";39374
170;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"1.60";8;"Hybrid";"128";"1024";"AMD";"windows";"2.33";44968
171;"Asus";"Ultrabook";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";16;"SSD";"512";"0";"Nvidia";"windows";"1.8";105654
172;"Acer";"Notebook";"17.3";1920;1080;0;"Intel";"Core i5";"1.60";4;"SSD";"256";"0";"Nvidia";"windows";"3";42890
173;"Lenovo";"2 in 1 Convertible";"13.9";3840;2160;1;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Intel";"windows";"1.4";111835
174;"Dell";"Ultrabook";"13.3";1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";"windows";"1.2";84129
175;"Lenovo";"Gaming";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";8;"HDD";"1024";"0";"Nvidia";"windows";"3.2";69211
176;"HP";"Ultrabook";"13.3";1920;1080;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Nvidia";"windows";"1.38";59620
177;"HP";"Notebook";"15.6";1366;768;0;"Intel";"Core i3";"2.00";4;"HDD";"500";"0";"AMD";"windows";"1.86";23373
178;"Lenovo";"Gaming";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"2048";"Nvidia";"windows";"2.4";60153
179;"HP";"2 in 1 Convertible";"13.3";3840;2160;1;"Intel";"Core i7";"1.80";16;"SSD";"1024";"0";"Intel";"windows";"1.29";130483
180;"Lenovo";"Notebook";"15.6";1366;768;0;"Intel";"Core i3";"2.00";8;"SSD";"256";"0";"Nvidia";"N/A";"2.2";26587
181;"HP";"Notebook";"13.3";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"512";"0";"Intel";"windows";"1.49";51096
182;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"AMD";"windows";"2.13";38788
183;"HP";"Notebook";"14";1366;768;0;"Intel";"Celeron Dual";"1.60";4;"SSD";"32";"0";"Intel";"windows";"1.44";12201
184;"HP";"Gaming";"17.3";1920;1080;0;"Intel";"Core i7";"2.80";12;"Hybrid";"256";"1024";"Nvidia";"windows";"3.35";106507
185;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"1.60";4;"SSD";"256";"0";"AMD";"windows";"2.2";39907
186;"Lenovo";"Notebook";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";4;"HDD";"1024";"0";"Intel";"windows";"1.9";29251
187;"HP";"Notebook";"14";1366;768;0;"Intel";"Celeron Dual";"1.60";2;"Flash Storge";"32";"0";"Intel";"windows";"1.44";14865
188;"Dell";"Notebook";"15.6";1366;768;1;"Intel";"Core i3";"2.40";6;"HDD";"1024";"0";"Intel";"windows";"2.3";23390
189;"Acer";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";8;"SSD";"256";"0";"Nvidia";"linux";"2.5";52161
